"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
3281000	0.015625	0.05	-12401.8	0	1.34375	2.51562	2.79688	2.54688	1.85938	-0.171875	-0.921875	-2.42188	-5.01562
3282000	0.015625	0.05	-12502.1	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.921875	-2.42188	-5.01562
3283000	0.015625	0.05	-12523.9	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.921875	-2.42188	-5.01562
3284000	0.015625	0.005	-12422	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.9375	-2.42188	-5.01562
3285000	0.015625	0.005	-12667.1	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.42188	-5.01562
3286000	0.015625	0.005	-12527.1	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.42188	-5.01562
3287000	0.015625	0.001	-12415.9	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.4375	-5.01562
3288000	0.015625	0.001	-12433.7	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.45312	-5.01562
3289000	0.015625	0.001	-12528.5	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.45312	-5.01562
3290000	0.015625	0	-12420.3	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.45312	-5.03125
3291000	0.015625	0	-12488.5	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.45312	-5.04688
3292000	0.015625	0	-12706.6	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.45312	-5.04688
3293000	0.015625	0.001	-12493.6	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.953125	-2.46875	-5.04688
3294000	0.015625	0.005	-12374.7	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3295000	0.015625	0.005	-12646.9	0	1.34375	2.51562	2.79688	2.54688	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3296000	0.015625	0.1	-12538.3	0	1.34375	2.51562	2.79688	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3297000	0.015625	0.3	-12474.4	0	1.34375	2.51562	2.78125	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3298000	0.015625	0.3	-12481.9	0	1.34375	2.51562	2.78125	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3299000	0.015625	0.3	-12471.1	0	1.34375	2.51562	2.76562	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3300000	0.015625	0.3	-12409.9	0	1.34375	2.51562	2.75	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3301000	0.015625	0.3	-12545.4	0	1.34375	2.51562	2.75	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3302000	0.015625	0.75	-12375.6	0	1.32812	2.51562	2.75	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3303000	0.015625	0.75	-12442.3	0	1.3125	2.51562	2.75	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
3304000	0.015625	0.75	-12234.5	0	1.3125	2.51562	2.75	2.53125	1.84375	-0.171875	-0.96875	-2.46875	-5.04688
